timestamp,method,event,user,confidence,second_best_user,second_best_score,reason,detail
2026-06-25 01:11:36,server,CLIENT_CONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 52394)"
2026-06-25 01:11:44,face,GRANTED,faizy,0.7532,junaid,0.5549,ok,0.0,0.0,auto
2026-06-25 01:11:48,server,CLIENT_CONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 52395)"
2026-06-25 01:11:52,face,GRANTED,faizy,0.7687,junaid,0.5695,ok,0.0,0.0,auto
2026-06-25 01:11:58,server,CLIENT_CONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 52396)"
2026-06-25 01:12:10,server,CLIENT_CONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 52397)"
2026-06-25 01:12:22,server,CLIENT_CONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 52398)"
2026-06-25 01:12:34,server,CLIENT_CONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 52399)"
2026-06-25 01:12:46,server,CLIENT_CONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 52400)"
2026-06-25 01:12:58,server,CLIENT_CONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 54613)"
2026-06-25 01:13:10,server,CLIENT_CONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 54614)"
2026-06-25 01:13:23,server,CLIENT_CONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 54615)"
2026-06-25 01:13:34,server,CLIENT_CONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 54616)"
2026-06-25 01:13:46,server,CLIENT_CONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 54617)"
2026-06-25 01:13:58,server,CLIENT_CONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 54618)"
2026-06-25 01:14:10,server,CLIENT_CONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 54619)"
2026-06-25 01:14:22,server,CLIENT_CONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 54620)"
2026-06-25 01:14:34,server,CLIENT_CONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 54621)"
2026-06-25 01:14:46,server,CLIENT_CONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 54622)"
2026-06-25 01:14:58,server,CLIENT_CONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 54623)"
2026-06-25 01:15:10,server,CLIENT_CONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 54624)"
2026-06-25 01:15:22,server,CLIENT_CONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 54625)"
2026-06-25 01:15:23,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 63168)"
2026-06-25 01:15:23,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 63169)"
2026-06-25 01:15:23,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 50619)"
2026-06-25 01:15:23,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 63165)"
2026-06-25 01:15:23,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 50616)"
2026-06-25 01:15:28,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 52387)"
2026-06-25 01:15:28,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 52388)"
2026-06-25 01:15:28,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 52389)"
2026-06-25 01:15:28,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 52390)"
2026-06-25 01:15:28,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 52391)"
2026-06-25 01:15:28,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 52395)"
2026-06-25 01:15:28,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 52392)"
2026-06-25 01:15:28,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 52393)"
2026-06-25 01:15:28,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 52396)"
2026-06-25 01:15:28,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 52394)"
2026-06-25 01:15:36,server,CLIENT_CONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 54630)"
2026-06-25 01:15:48,server,SHUTDOWN,,0.0,,0.0,,0.0,0.0,
2026-06-25 01:15:52,server,SHUTDOWN,,0.0,,0.0,,0.0,0.0,
2026-06-25 01:15:52,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 54615)"
2026-06-25 01:15:52,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 54617)"
2026-06-25 01:15:52,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 52397)"
2026-06-25 01:15:52,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 54625)"
2026-06-25 01:15:52,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 54619)"
2026-06-25 01:15:52,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 54623)"
2026-06-25 01:15:52,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 54621)"
2026-06-25 01:15:52,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 52400)"
2026-06-25 01:15:52,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 52398)"
2026-06-25 01:15:52,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 54613)"
2026-06-25 01:15:52,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 54614)"
2026-06-25 01:15:52,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 54624)"
2026-06-25 01:15:52,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 54622)"
2026-06-25 01:15:52,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 54630)"
2026-06-25 01:15:52,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 54616)"
2026-06-25 01:15:52,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 54620)"
2026-06-25 01:15:52,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 52399)"
2026-06-25 01:15:52,server,CLIENT_DISCONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 54618)"
2026-06-25 01:15:55,server,STARTUP,,0.0,,0.0,,0.0,0.0,
2026-06-25 01:16:02,server,CLIENT_CONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 54632)"
2026-06-25 01:16:02,server,CLIENT_CONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 54633)"
2026-06-25 01:16:16,face,ENROLLED,ava,0.0,,0.0,,0.0,0.0,after 1 attempt(s)
2026-06-25 01:16:22,server,CLIENT_CONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 54634)"
2026-06-25 01:16:23,voice,GRANTED,ava,0.9086,,-1.0,,2.02,2323.8,auto
2026-06-25 01:16:29,face,GRANTED,ava,0.9504,faizy,0.7275,ok,0.0,0.0,auto
2026-06-25 01:16:34,server,CLIENT_CONNECTED,,0.0,,0.0,,0.0,0.0,"('192.168.100.4', 54635)"
